Genus	A07-1	A07-3	A07-4	A08-1	A08-2	A08-4	A29-1	A29-2	A29-3	B09-1	B09-2	B09-3	B18-2	B18-3	B18-4	B19-2	B19-3	B19-4	B33-1	B33-2	B33-3	B34-2	B34-3	B34-4	B37-1	B37-2	B37-3	B43-2	B43-3	B43-4	B56-1	B56-2	B56-4	C13-1	C13-3	C13-4	E11-1	E11-3	E11-4	E41-1	E41-2	E41-3	G01-1	G01-2	G01-3	G17-1	G17-2	G17-3	G23-2	G23-3	G23-4	G39-1	G39-3	G39-4	G48-1	G48-2	G48-4	L27-3	H28-1	H28-2	H28-4	H30-2	H30-3	H30-4	H44-1	H44-2	H44-4	L10-2	L10-3	L10-4	L27-1	L27-4	L55-1	L55-3	L55-4	M20-1	M20-2	M20-4	M22-2	M22-3	M22-4	M32-1	M32-2	M32-4	N02-2	N02-3	N02-4	N35-1	N35-3	N35-4	N51-1	N51-3	N51-4	O14-1	O14-2	O14-4	O21-1	O21-2	O21-4	O53-1	O53-2	O53-3	P40-1	P40-2	P40-4	R06-2	R06-3	R06-4	R12-1	R12-2	R12-4	R15-1	R15-2	R15-3	R16-1	R16-2	R16-4	R36-1	R36-2	R36-4	R49-1	R49-2	R49-3	R54-2	R54-3	R54-4	S03-1	S03-3	S03-4	S05-1	S05-2	S05-3	S42-2	S42-3	S42-4	S47-1	S47-3	S47-4	S50-2	S50-3	S50-4	S57-1	S57-2	S57-3	S58-2	S58-3	S58-4	S60-1	S60-2	S60-4	S61-1	S61-2	S61-3	T04-2	T04-3	T04-4	T62-2	T62-3	T62-4	V26-2	V26-3	V26-4	V45-1	V45-2	V45-3	W25-1	W25-2	W25-3	W31-1	W31-3	W31-4	W46-2	W46-3	W46-4	W59-1	W59-3	W59-4	Z24-1	Z24-2	Z24-4	Z52-1	Z52-2	Z52-4
Leuctra	301	495	17	0	0	0	55	120	4	0	0	9	0	0	24	0	0	0	87	45	76	2	9	0	0	2	0	12	6	0	46	121	20	10	0	0	3	0	1	1	4	616	0	0	1	32	67	17	2	0	0	46	8	46	74	62	78	0	147	122	0	54	0	69	381	10	332	19	30	56	0	0	0	0	2	4	0	0	615	120	186	10	40	2959	0	8	2	118	58	170	100	40	50	2	20	93	10	159	9	101	21	100	0	64	47	0	0	0	205	2	88	27	0	188	0	0	0	3	46	19	66	306	23	324	97	1093	65	110	225	6	16	12	569	412	15	0	12	0	312	83	1601	0	0	23	95	1714	38	152	389	154	48	310	222	0	0	0	35	0	10	0	0	0	140	29	43	46	9	17	110	212	144	132	46	183	2079	142	215	4	108	7	118	29	40
Nemurella	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	14182	277	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chloroperla	0	39	237	0	0	0	128	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	52	50	0	0	0	0	0	0	0	0	210	269	124	1	0	0	0	0	0	1506	32	759	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	313	338	1331	0	35	0	0	0	0	0	0	0	236	0	136	0	0	0	0	0	0	2	14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	7	0	0	373	10	285	0	0	0	0	0	0	0	0	0
Protonemura	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	26	0	8	0	0	0	0	0	0	0	0	81	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	9	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	4	0	0	0	0	1	0	0	0	0	0	4	2	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	26	0	0	0	0	0	432	0	0
Ephemera	4	0	0	9	23	0	0	1	0	23	23	95	0	0	0	3	76	10	0	0	0	0	20	3	0	0	0	0	0	0	0	0	0	239	511	313	0	3	0	0	0	0	270	361	227	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	612	388	3201	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	7	22	1	1	0	8	0	0	0	9	4	254	1	2	0	0	0	13	0	0	2	1	24	0	1	0	2	10	3	0	1	0	0	0	0	0	2	60	53	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	544	1314	1592	0	0	0	0	0	0	0	0	0	31	59	26	10	4	0	0	0	11	0	0	0	3	0	0	0	0	0
Rhyacophila	103	32	79	0	0	0	65	84	61	5	50	5	0	0	45	0	0	0	0	0	10	4	340	0	0	19	1	0	0	0	0	1	17	0	0	0	0	3	14	0	0	0	0	1	0	54	63	36	0	0	0	0	4	1	31	29	1	0	28	17	11	0	0	5	0	0	1	49	1	93	10	1	0	0	14	134	109	72	0	59	60	0	0	0	10	8	0	89	139	40	0	1	0	0	0	1	0	0	0	0	0	97	65	14	27	31	21	29	8	21	2	2	0	2	0	0	0	0	23	0	1	0	24	0	0	81	49	113	141	11	17	4	0	1	2	2	159	0	73	25	170	307	1	0	17	9	37	18	4	37	36	12	12	0	3	10	8	0	0	0	0	0	0	0	15	0	61	15	5	1	46	28	21	2	2	0	0	61	8	24	0	0	0
Nemoura	0	0	0	0	0	0	0	12	1	0	10	0	0	0	1	47	86	12	2	428	127	0	0	0	5	19	3	54	278	1	42	394	0	0	3	0	0	0	0	0	265	1601	0	0	15	0	0	0	5	0	0	1	4	45	53	70	37	1	2	1	0	48	6	16	134	0	52	0	0	0	113	7	349	216	540	0	1	0	0	0	2	2	29	5	0	0	0	0	0	0	92	0	8	0	2	10	0	0	2	1	157	6	0	2	22	0	0	0	0	0	0	1	0	0	0	42860	0	0	21	0	55	9	8	0	43	189	0	0	0	0	5	0	441	51	401	0	3	1	0	0	0	17	152	1	89	234	21	0	0	0	0	0	0	1	0	1	72	17	2	0	0	0	10	0	0	0	0	4	0	1	266	0	0	0	85	526	21	2	0	0	8	0	0
Zwicknia	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	13	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Rhithrogena	398	4225	6566	0	0	0	845	285	14	0	0	0	0	0	0	0	0	1	440	2113	456	0	1	1	0	1	0	0	0	0	1	0	1	57	9	0	0	1	1	0	0	0	0	1	0	38	0	35	0	0	0	21	3	19	0	0	8	2	0	1	1	1	14	8	0	0	32	709	322	458	0	0	0	0	179	0	0	0	2683	3681	5023	2095	0	0	0	0	0	2898	1652	1696	88	3	30	0	0	18	0	0	0	0	0	520	206	239	312	0	0	0	1334	437	510	0	0	0	1	0	1	1355	861	844	196	339	191	14	4	227	2430	3383	1892	251	254	272	0	14	0	0	0	2	447	961	1467	0	205	81	0	0	0	226	205	680	0	33	0	0	0	1	0	0	1	0	1	0	270	410	247	59	29	48	674	926	847	2470	764	376	5	0	1	0	0	0	207	0	755
Siphlonurus	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	71	8	0	0	0	0	0	0	0	0	0	1	0	7	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
