site	Alainites	Allogamus	Amphinemura	Athripsodes	Baetis	Caenis	Centroptilum	Chaetopteryx	Chloroperla	Cloeon	Crunoecia	Dictyogenus	Dinocras	Drusus	Ecdyonurus	Electrogena	Epeorus	Ephemera	Goera	Habroleptoides	Habrophlebia	Hydropsyche	Hydroptila	Isoperla	Lepidostoma	Leuctra	Limnephilus	Lype	Melampophylax	Metanoea	Nemoura	Nemurella	Odontocerum	Perla	Perlodes	Philopotamus	Plectrocnemia	Polycentropus	Protonemura	Psychomyia	Rhithrogena	Rhyacophila	Sericostoma	Serratella	Siphlonurus	Tinodes	Wormaldia
1	0	0	0	0	1	0	3	0	0	21	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	10	0	2	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
2	0	0	0	0	81	19	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	14	0	0	25	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	1	0	15	0	0	0
3	0	0	0	0	189	6	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	3	9	0	135	0	0	0
4	2	0	0	0	3	0	0	0	0	0	0	0	0	0	0	1	0	20	0	0	11	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	5	0	0	0	0	4	0	0	0	0	0
5	0	0	0	1	47	169	0	0	42	2	0	1	7	0	16	0	0	1	0	0	0	0	0	0	1	223	0	0	0	0	0	0	0	0	0	0	0	0	0	0	60	5	1	105	1	0	0
6	1	0	0	0	605	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	15	0	0	0
7	0	0	0	0	12	18	0	0	9	0	0	0	0	0	43	0	0	0	0	0	0	0	0	0	0	54	0	0	0	0	0	0	0	0	1	0	0	0	0	0	5	0	0	28	0	0	0
8	9	0	0	0	13	0	0	0	0	0	0	0	0	0	0	11	0	9	0	12	0	0	0	0	0	22	0	2	5	0	0	1	0	0	0	0	1	0	31	0	0	5	1	0	0	0	6
9	65	0	0	0	40	0	0	0	0	0	0	0	0	0	3	0	0	1	0	16	42	7	0	0	0	30	0	0	0	0	0	0	1	0	0	0	0	0	32	0	0	10	0	61	0	1	0
10	0	0	0	0	150	14	0	0	0	0	0	0	0	0	19	0	0	0	0	0	0	0	0	0	0	28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	16	1	0	7	0	0	0
11	2	0	0	0	926	10	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	5	1	0	0	54	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	65	0	0	0
12	1	0	0	0	240	5	0	0	1	0	0	0	0	0	22	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	2	0	0	3	0	0	6	0	0	0
13	8	0	0	0	12	3	14	0	0	0	0	0	0	0	1	0	0	4	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	13	0	0	0
14	4	0	0	0	56	0	1	0	0	0	0	0	0	0	1	32	0	3	0	10	10	0	0	1	0	18	0	1	0	0	0	0	2	0	0	0	7	0	0	0	0	1	4	1	0	0	0
15	0	0	0	0	345	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	54	0	0	0	0	50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	8	0	0	0
16	2	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	12	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
17	0	0	0	0	212	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	8	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	5	0	0	0
